JIS文字,カード番号,字体数,用例数1,用例数2,用例数3,用例数4,用例数5,大字典,大漢和,部首
者,1274,1,11,,,,,09255,M28853,125
而,1275-1276,1,90,,,,,09264,M28871,126
09285,1277,1,2,,,,,09285,M28952,127
耳,1278,1,2,,,,,09290,M28999,128
聊,1279,1,4,,,,,09304,M29049,128
聖,1280,1,4,,,,,09308,M29074,128
肅,1281,1,3,,,,,09344,M29225,129
肆,1282,1,3,,,,,09345,M29226,129
09383,1283,1,2,,,,,09383,M29326,130
胡,1284,1,2,,,,,09411,M29400,130
能,1285,1,6,,,,,09429,M29454,130
脩,1286,1,5,,,,,09462,M29535,130
膠,1287,1,2,,,,,09544,M29841,130
臣,1288,1,5,,,,,09596,M30068,131
自,1289,1,3,,,,,09602,M30095,132
至,1290,1,7,,,,,09610,M30142,133
臺,1291,1,7,,,,,09617,M30161,133
臻,1292,1,3,,,,,09618,M30165,133
舒,1293,1,2,,,,,09643,M30300,135
芒,1294,1,2,,,,,09736,M30682,140
芬,1295,1,4,,,,,09753,M30728,140
芳,1296,1,4,,,,,09759,M30736,140
若,1297,1,13,,,,,09788,M30796,140
茲,1298,1,4,,,,,07258,M20816,095
草,1299,1,2,,,,,09846,M30945,140
荒,1300,1,3,,,,,09851,M30953,140
華,1301,1,7,,,,,09921,M31214,140
萬,1302,1,7,,,,,09954,M31339,140
落,1303,1,2,,,,,09961,M31362,140
蒙,1304,1,7,,,,,10008,M31555,140
蒼,1305,1,4,,,,,10031,M31627,140
蓋,1306,1,3,,,,,10040,M31652,140
莫,1307,1,6,,,,,09886,M31078,140
蓬,1308,1,2,,,,,10048,M31720,140
10121,1309,1,2,,,,,10121,M31995,140
蕭,1310,1,2,,,,,10128,M32012,140
薜,1311,1,3,,,,,10155,M32125,140
藹,1312,1,4,,,,,10214,M32397,140
蘭,1313,1,4,,,,,10251,M32519,140
虎,1314,1,5,,,,,10264,M32675,141
10271,1315,1,23,,,,,10271,M32698,141
虚,1316,1,3,,,,,10272,M32709,141
蛇,1317,1,3,,,,,10349,M32964,142
蛟,1318,1,2,,,,,10364,M33009,142
蛾,1319,1,2,,,,,10388,M33082,142
融,1320,1,2,,,,,10500,M33384,142
10515,1321,1,2,,,,,10515,M33494,142
蠖,1322,1,2,,,,,10575,M33752,142
血,1323,0,,,,,,10605,M33964,143
07844,1324,1,6,,,,,07844,M23321,109
行,1325,1,6,,,,,10614,M34029,144
衍,1326,1,3,,,,,10615,M34033,144
衡,1327,1,2,,,,,10631,M34078,144
衣,1328,1,3,,,,,10637,M34091,145
衰,1329,1,2,,,,,10649,M34127,145
被,1330,1,6,,,,,10683,M34222,145
裳,1331,1,2,,,,,10724,M34357,145
西,1332,1,13,,,,,10820,M34763,146
要,1333,1,2,,,,,10822,M34768,146
見,1334,1,3,,,,,10831,M34796,147
詔,1335,1,3,,,,,10959,M35379,149
觀,1336,1,8,,,,,10859,M34993,147
視,1337,1,2,,,,,10837,M34836,147
觸,1338,1,2,,,,,10887,M35181,148
言,1339,1,2,,,,,10890,M35205,149
誰,1340,1,2,,,,,11028,M35586,149
譎,1341,1,2,,,,,11160,M35956,149
11216,1342,1,2,,,,,11216,M36120,149
讓,1343,1,2,,,,,11222,M36139,149
谷,1344,1,2,,,,,11234,M36182,150
豈,1345,1,5,,,,,11253,M36249,151
豐,1346,1,4,,,,,11261,M36304,151
象,1347,1,4,,,,,11275,M36372,152
豹,1348,1,3,,,,,11293,M36499,153
貞,1349,1,2,,,,,11329,M36658,154
負,1350,1,2,,,,,11332,M36660,154
資,1351,1,2,,,,,11373,M36750,154
賓,1352,1,2,,,,,11386,M36788,154
賦,1353,1,4,,,,,11403,M36800,154
超,1354,1,4,,,,,11467,M37096,156
足,1355,1,7,,,,,11495,M37365,157
路,1356,1,2,,,,,11548,M37524,157
蹈,1357,1,3,,,,,11618,M37744,157
蹌,1358,1,2,,,,,11622,M37755,157
躡,1359,1,2,,,,,11708,M38009,157
身,1360,1,2,,,,,11715,M38034,158
車,1361,1,11,,,,,11740,M38172,159
軍,1362,1,3,,,,,11745,M38179,159
軒,1363,1,2,,,,,11750,M38187,159
軫,1364,1,3,,,,,11770,M38243,159
軼,1365,1,2,,,,,11783,M38275,159
載,1366,1,2,,,,,11795,M38309,159
輕,1367,1,3,,,,,11802,M38346,159
11838,1368,1,2,,,,,11838,M38435,159
輿,1369,1,7,,,,,11846,M38468,159
11866,1370,1,2,,,,,11866,M38542,159
轡,1371,1,3,,,,,11885,M38587,159
辟,1372,1,2,,,,,11898,M38642,160
辭,1373,1,5,,,,,11914,M38671,160
農,1374,1,2,,,,,11919,M38688,161
近,1375,1,2,,,,,11948,M38752,162
迹,1376,1,3,,,,,11976,M38827,162
迺,1377,1,9,,,,,11977,M38831,162
逆,1378,1,2,,,,,11986,M38849,162
通,1379,1,2,,,,,12000,M38892,162
造,1380,1,2,,,,,12004,M38898,162
連,1381,1,3,,,,,12010,M38902,162
遂,1382,1,5,,,,,12037,M38985,162
遊,1383,1,4,,,,,12042,M38994,162
過,1384,1,2,,,,,12046,M39002,162
遐,1385,1,2,,,,,12048,M39005,162
道,1386,1,5,,,,,12051,M39010,162
違,1387,2,1,1,,,,12054,M39013,162
遙,1388,1,3,,,,,12062,M39035,162
遠,1389,1,4,,,,,12070,M39047,162
遭,1390,1,2,,,,,12082,M39082,162
遺,1391,1,3,,,,,12097,M39134,162
還,1392,1,6,,,,,12108,M39174,162
邑,1394,1,2,,,,,12123,M39269,163
邪,1395,1,2,,,,,12139,M39319,163
郊,1396,1,5,,,,,12160,M39392,163
都,1397,1,3,,,,,12188,M39509,163
鄰,1398,1,2,,,,,12234,M39656,163
配,1399,1,2,,,,,12263,M39771,164
醴,1400,1,3,,,,,12350,M40053,164
里,1401,1,5,,,,,12372,M40131,166
重,1402,1,3,,,,,12373,M40132,166
野,1403,3,2,1,1,,,12374,M40133,166
釐,1404,1,2,,,,,12379,M40146,166
鉅,1405,1,2,,,,,12425,M40286,167
錯,1406,1,2,,,,,12528,M40579,167
鍾,1407,1,4,,,,,12563,M40672,167
長,1408,1,6,,,,,12698,M41100,168
門,1409,1,5,,,,,12709,M41208,169
開,1410,1,8,,,,,12716,M41233,169
間,1411,1,3,,,,,12724,M41248,169
12749,1412,1,2,,,,,12749,M41330,169
關,1413,1,6,,,,,12790,M41470,169
12817,1414,1,2,,,,,12817,M41566,170
陂,1415,1,2,,,,,12833,M41603,170
降,1416,1,5,,,,,12838,M41620,170
陟,1417,1,2,,,,,12851,M41659,170
陳,1418,1,6,,,,,12864,M41698,170
陵,1419,1,3,,,,,12867,M41704,170
陸,1420,1,3,,,,,12870,M41708,170
陽,1421,1,8,,,,,12876,M41725,170
隆,1422,1,7,,,,,12886,M41746,170
隱,1423,1,3,,,,,12935,M41891,170
雀,1424,1,2,,,,,12955,M41954,172
雄,1425,1,8,,,,,12961,M41972,172
集,1426,1,3,,,,,12963,M41974,172
雉,1427,1,2,,,,,12965,M41987,172
雍,1428,2,2,2,,,,12972,M42000,172
雖,1429,1,4,,,,,12991,M42104,172
離,1431,1,14,,,,,13001,M42140,172
雨,1432,1,2,,,,,13012,M42210,173
雲,1433,1,14,,,,,13020,M42235,173
雷,1434,1,6,,,,,13023,M42245,173
電,1435,1,4,,,,,13026,M42253,173
霆,1436,1,2,,,,,13035,M42299,173
青,1437,1,4,,,,,13095,M42564,174
非,1438,1,8,,,,,13104,M42585,175
靡,1439,1,7,,,,,13107,M42612,175
鞭,1440,1,3,,,,,13192,M42937,177
頌,1441,1,4,,,,,13307,M43365,181
題,1442,1,2,,,,,13376,M43584,181
風,1443,1,11,,,,,13423,M43756,182
飛,1444,1,11,,,,,13495,M44000,183
13497,1445,1,2,,,,,13497,M44003,183
餘,1446,1,3,,,,,13565,M44185,184
首,1447,1,2,,,,,13661,M44489,185
馬,1448,1,3,,,,,13680,M44572,187
馳,1449,1,7,,,,,13688,M44593,187
13693,1450,1,2,,,,,13693,M44605,187
13712,1451,1,4,,,,,13712,M44651,187
駕,1452,1,4,,,,,13724,M44667,187
駟,1453,1,2,,,,,13733,M44683,187
駭,1454,1,4,,,,,13751,M44725,187
駢,1455,1,4,,,,,13780,M44795,187
騎,1456,1,8,,,,,13787,M44817,187
騰,1457,1,3,,,,,13820,M44915,187
驅,1458,1,2,,,,,13839,M44968,187
高,1459,1,11,,,,,13940,M45313,189
鬯,1460,2,1,1,,,,14036,M45661,192
鬼,1461,1,3,,,,,14061,M45758,194
魂,1462,1,4,,,,,14067,M45787,194
魚,1463,1,3,,,,,14101,M45956,195
鳥,1464,1,2,,,,,14361,M46634,196
鳳,1465,2,5,2,,,,14378,M46671,196
鳴,1466,1,3,,,,,14379,M46672,196
鴻,1467,2,5,1,,,,14446,M46874,196
鸞,1468,2,3,3,,,,14611,M47508,196
麋,1469,1,2,,,,,14636,M47625,198
麒,1470,1,2,,,,,14642,M47657,198
麗,1471,1,10,,,,,14645,M47663,198
麟,1472,1,3,,,,,14655,M47690,198
黄,1473,1,5,,,,,14693,M47926,201
龍,1474,2,8,6,,,,14876,M48818,212
世,1475,2,5,1,,,,00025,M00031,001
亡,1476,2,6,6,,,,00150,M00287,008
兮,1477-1480,2,117,37,,,,00598,M01455,012
典,1481,2,1,1,,,,00608,M01474,012
冥,1482,2,5,2,,,,00651,M01588,014
函,1483,2,1,1,,,,00725,M01826,017
初,1484,2,2,1,,,,00759,M01911,018
勸,1485,2,1,1,,,,00913,M02486,019
卻,1486,2,1,1,,,,01044,M02867,026
01063,1487,2,4,1,,,,01063,M02930,027
厥,1488,2,3,2,,,,01079,M02992,027
叢,1489,2,1,1,,,,01139,M03220,029
和,1490,1,5,,,,,01263,M03490,030
唐,1491,2,8,1,,,,01342,M03709,030
嚮,1492,2,1,1,,,,01574,M04565,030
回,1493,2,6,2,,,,01609,M04690,031
圍,1494,1,4,4,,,,01641,M04806,031
垂,1495,1,7,,,,,01710,M05012,032
垠,1496,2,3,1,,,,01725,M05054,032
壁,1498,2,2,1,,,,01873,M05516,032
01931,1499,2,1,1,,,,01931,M05747,035
夭,1500,2,1,1,,,,01952,M05838,037
夷,1501,2,2,2,,,,01961,M05852,037
奪,1502,2,1,1,,,,02013,M05994,037
奮,1503,2,1,1,,,,02019,M06012,037
寥,1504,2,1,1,,,,02389,M07292,040
富,1505,2,1,1,,,,02366,M07230,040
將,1506,2,10,3,,,,02425,M07438,041
差,1507,2,1,1,,,,02780,M08732,048
建,1508,2,3,3,,,,03006,M09574,054
弘,1509,2,2,1,,,,03047,M09709,057
徂,1510,2,1,1,,,,03130,M10078,060
徒,1511,2,5,2,,,,03143,M10121,060
從,1512,2,5,1,,,,03151,M10152,060
扶,1513,2,3,1,,,,03686,M11840,064
承,1514,2,2,1,,,,03690,M11852,064
收,1515,0,,,,,,04224,M13110,066
散,1516,2,2,1,,,,04280,M13265,066
敦,1517,2,2,1,,,,04281,M13276,066
數,1518,2,1,1,,,,04298,M13363,066
04410,1519,2,1,1,,,,04410,M13660,070
曳,1520,2,2,1,,,,04653,M14282,073
枝,1521,2,2,1,,,,04807,M14557,075
梨,1522,2,1,1,,,,04993,M14873,075
極,1523,2,4,1,,,,05161,M15181,075
槍,1524,2,3,1,,,,05237,M15319,075
樛,1525,2,1,1,,,,05305,M15445,075
05518,1526,2,2,1,,,,05518,M15903,075
民,1527,2,5,1,,,,05935,M17028,083
營,1528,2,6,2,,,,06984,M19457,086
爾,1529,2,2,1,,,,07043,M19750,089
牆,1530,2,1,1,,,,07047,M19806,090
獲,1531,2,1,1,,,,07241,M20758,094
瓊,1532,2,2,1,,,,07394,M21328,096
祇,1533,2,2,1,,,,08107,M24639,113
祗,1534,2,1,1,,,,08118,M24665,113
秦,1535,2,1,1,,,,08204,M24995,115
穆,1536,2,4,4,,,,08265,M25251,115
經,1537,2,3,1,,,,08856,M27508,120
索,1538,2,3,1,,,,08767,M27306,120
羣,1539,2,5,3,,,,09175,M28497,123
翠,1540,2,5,1,,,,09220,M28732,124
聲,1541,2,5,1,,,,09328,M29166,128
胥,1542,2,2,1,,,,09414,M29406,130
臨,1543,2,5,2,,,,09601,M30087,131
舊,1544,2,1,1,,,,09633,M30249,134
與,1545,2,30,2,,,,09629,M30212,134
般,1546,2,3,1,,,,09665,M30388,137
英,1547,2,1,1,,,,09795,M30808,140
薄,1548,2,3,1,,,,10139,M32083,140
茂,1549,2,1,1,,,,09807,M30833,140
苑,1550,2,2,1,,,,09772,M30774,140
處,1551,2,1,1,,,,10270,M32697,141
虞,1552,2,8,1,,,,10275,M32723,141
10440,1553,2,1,1,,,,10440,M33202,142
覽,1554,2,3,3,,,,10857,M34977,147
走,1555,2,1,1,,,,11454,M37034,156
蹶,1556,2,1,1,,,,11668,M37880,157
迎,1557,2,1,1,,,,11947,M38748,162
遲,1558,3,2,1,1,,,12087,M39113,162
鉤,1559,2,4,1,,,,12441,M40319,167
闔,1560,2,1,1,,,,12782,M41452,169
闕,1561,2,1,1,,,,12783,M41456,169
12881,1562,2,1,1,,,,12881,M41738,170
雜,1563,2,1,1,,,,12997,M42122,172
露,1564,2,2,1,,,,13073,M42463,173
顧,1565,2,2,1,,,,13409,M43689,181
13468,1566,2,3,1,,,,13468,M43909,182
館,1567,2,2,1,,,,13584,M44237,184
騁,1568,2,1,1,,,,13773,M44778,187
鱗,1569,2,4,1,,,,14327,M46502,195
齊,1570,2,6,2,,,,14828,M48560,210
參,1571,3,1,1,1,,,01104,M03098,028
暗,1572,2,3,1,,,,04591,M14065,072
獵,1573,3,5,1,1,,,07244,M20768,094
犀,1574,3,2,1,1,,,07088,M20045,093
陰,1575,3,4,3,2,,,12862,M41691,170
靈,1576,3,17,1,1,,,13092,M42532,173
驂,1577,3,1,1,1,,,13836,M44965,187
鬱,1578,3,1,1,1,,,14039,M45671,192
淵,1579,5,2,2,1,1,1,06310,M17692,085
M00568,1580,0,,,,,,,M00568,009
M00770,1581,0,,,,,,,M00770,009
M00853,1582,0,,,,,,,M00853,009
率,1583,0,,,,,,07259,M20817,095
M07928,1585,0,,,,,,,M07928,046
02686,1586,0,,,,,,02686,M08398,046
M12400,1587,0,,,,,,,M12400,064
M14799,1588,0,,,,,,,M14799,075
03932,1589,0,,,,,,03932,M12411,064
M17248,1590,0,,,,,,,M17248,085
M19654,1591,0,,,,,,,M19654,087
M03123,1592,0,,,,,,,M03123,029
09199,1593,0,,,,,,09199,M28625,124
07845,1594,0,,,,,,07845,M23320,109
M30909,1595,0,,,,,,,M30909,140
M43243,1597,0,,,,,,,M43243,179
M44672,1598,0,,,,,,,M44672,187
